character,show,predicted_mbti,fan_consensus_mbti
Chandler,Friends,ENFP,ENTP
Joey,Friends,ENFP,ESFP
Monica,Friends,ENFP,ESTJ
Phoebe,Friends,ENFP,ENFP
Rachel,Friends,ENFP,ESFP
Ross,Friends,ENFP,ISTJ
